timestamp,robot_id,v_cmd,w_cmd
1776850597.1226227,tb3,0.18,-1.2144943611718835
1776850597.172672,tb3,0.18,-1.2208004808121393
1776850597.2226725,tb3,0.18,-1.2265599087533723
1776850597.272589,tb3,0.18,-1.2327966891946558
1776850597.3226445,tb3,0.18,-1.238988777629717
1776850597.3726428,tb3,0.18,-1.2448905829858667
1776850597.4225519,tb3,0.18,-1.2506682945189247
1776850597.47248,tb3,0.18,-1.2567424355254284
1776850597.522799,tb3,0.18,-1.2628102511751076
1776850597.572576,tb3,0.18,-1.268421820174604
1776850597.6230996,tb3,0.18,-1.2746878988997306
1776850597.6725922,tb3,0.18,-1.2803464319823858
1776850597.7226832,tb3,0.18,-1.2863552770126905
1776850597.772623,tb3,0.18,-1.2919619977185683
1776850597.822651,tb3,0.18,-1.297458667201298
1776850597.8731494,tb3,0.18,-1.3036371182638584
1776850597.9227123,tb3,0.18,-1.3092197026294037
1776850597.972708,tb3,0.18,-1.316810727673509
1776850598.0226805,tb3,0.18,-1.3202482686520105
1776850598.0727062,tb3,0.18,-1.3260606545253297
1776850598.1227424,tb3,0.18,-1.3317488034157787
1776850598.1729636,tb3,0.18,-1.337413120953783
1776850598.222761,tb3,0.18,-1.342893364359365
1776850598.2727869,tb3,0.18,-1.3483951846897893
1776850598.32276,tb3,0.18,-1.3539527317214806
1776850598.3727815,tb3,0.18,-1.3589981656380579
1776850598.4225597,tb3,0.18,-1.3646033683773853
1776850598.4725552,tb3,0.18,-1.3701786627222248
1776850598.5228107,tb3,0.18,-1.3756664256109539
1776850598.57265,tb3,0.18,-1.3805155150596364
1776850598.6226268,tb3,0.18,-1.385907754953351
1776850598.672736,tb3,0.18,-1.3912563257388393
1776850598.722739,tb3,0.18,-1.3966622243137679
1776850598.7726734,tb3,0.18,-1.4013534796813376
1776850598.8228016,tb3,0.18,-1.406521424244716
1776850598.8727834,tb3,0.18,-1.4120035911700795
1776850598.922774,tb3,0.18,-1.4169076614307128
1776850598.9725246,tb3,0.18,-1.42182591532058
1776850599.0226479,tb3,0.18,-1.4266930258798183
1776850599.0727823,tb3,0.18,-1.4320566961637653
1776850599.1227567,tb3,0.18,-1.4369006366974248
1776850599.1727552,tb3,0.18,-1.441303698249932
1776850599.2227874,tb3,0.18,-1.4463702001199417
1776850599.2727532,tb3,0.18,-1.451099265314825
1776850599.322648,tb3,0.18,-1.455506836880238
1776850599.3726585,tb3,0.18,-1.4607479113116701
1776850599.4225645,tb3,0.18,-1.465146004692312
1776850599.4727566,tb3,0.18,-1.469793620320331
1776850601.6729636,tb3,0.1659789831333857,-1.5
1776850601.722739,tb3,0.16567620402026467,-1.5
1776850601.7727153,tb3,0.16547680127167969,-1.5
1776850601.8226614,tb3,0.1652045402916651,-1.5
1776850601.8727164,tb3,0.1650112571498212,-1.5
1776850601.919124,tb2,0.17688154273369922,-1.5
1776850601.9226742,tb3,0.1647771532010154,-1.5
1776850601.9691129,tb2,0.17280175124173924,-1.5
1776850601.9724762,tb3,0.1645258957589969,-1.5
1776850602.019207,tb2,0.17172656131340236,-1.5
1776850602.022554,tb3,0.16429962200912798,-1.5
1776850602.069249,tb2,0.17070192308059154,-1.5
1776850602.072555,tb3,0.16410723488780016,-1.5
1776850602.119148,tb2,0.16960991050487503,-1.5
1776850602.1224666,tb3,0.16387974037397593,-1.5
1776850602.1690576,tb2,0.16856212160781298,-1.5
1776850602.1726143,tb3,0.1636870170142281,-1.5
1776850602.2192125,tb2,0.16745473011283535,-1.5
1776850602.2225199,tb3,0.1634764399873796,-1.5
1776850602.2692504,tb2,0.16634846381372456,-1.5
1776850602.2725694,tb3,0.16332912379783307,-1.5
1776850602.3190515,tb2,0.1652591295664171,-1.5
1776850602.3224537,tb3,0.16312054374573068,-1.5
1776850602.36918,tb2,0.1641235813960022,-1.5
