timestamp,robot_id,v_cmd,w_cmd
1776850186.6145523,tb3,-0.059345485051193525,-1.5
1776850186.6645734,tb3,-0.05933461254220754,-1.5
1776850186.714553,tb3,-0.059343350727214854,-1.5
1776850186.7645247,tb3,-0.059338428218665654,-1.5
1776850186.8144917,tb3,-0.05935311042268139,-1.5
1776850186.864469,tb3,-0.05932619320223069,-1.5
1776850186.914531,tb3,-0.059334364948287706,-1.5
1776850186.964561,tb3,-0.05933450839408191,-1.5
1776850187.0144846,tb3,-0.05934831535228589,-1.5
1776850187.0644429,tb3,-0.05933051078160441,-1.4999999999999998
1776850187.114626,tb3,-0.05933740173102924,-1.5
1776850187.1646218,tb3,-0.05934020047555265,-1.5
1776850187.2145176,tb3,-0.059349301076878615,-1.5
1776850187.2644796,tb3,-0.05933875016901688,-1.5
1776850187.3144164,tb3,-0.046162002803008924,-1.5
1776850187.3646255,tb3,-0.04615256497423119,-1.5
1776850187.414634,tb3,-0.04617200440238539,-1.4999999999999998
1776850187.4646375,tb3,-0.04614758558866992,-1.5
1776850187.5144525,tb3,-0.0461578595226063,-1.5
1776850187.564489,tb3,-0.046151557946411,-1.5
1776850187.6145422,tb3,-0.04616845304903072,-1.5
1776850187.664463,tb3,-0.03955886073136635,-1.5
1776850187.7143972,tb3,-0.039560609541169925,-1.5
1776850187.7646348,tb3,-0.03955225246111688,-1.5
1776850187.8145542,tb3,-0.039561779395762296,-1.5000000000000002
1776850187.8646276,tb3,-0.03955553069268424,-1.5000000000000002
1776850187.9145534,tb3,-0.0395686439826821,-1.5
1776850187.9645772,tb3,-0.03956050740390812,-1.5
1776850188.0145607,tb3,-0.039565549214093866,-1.5
1776850188.0646229,tb3,-0.03217770895756901,-1.5
1776850188.1145537,tb3,-0.03217432372731042,-1.5
1776850188.1647491,tb3,-0.03218360188554168,-1.5
1776850188.2147222,tb3,-0.032196515025624664,-1.5
1776850188.2644093,tb3,-0.03217208233141718,-1.5
1776850188.314562,tb3,-0.03217839335914514,-1.5
1776850188.364448,tb3,-0.032175988388326957,-1.5
1776850188.4146347,tb3,-0.03217923883421287,-1.4999999999999998
1776850188.4646425,tb3,-0.032175263319983605,-1.4999999999999998
1776850188.5145676,tb3,-0.03212244710010577,-1.5
1776850188.5644312,tb3,-0.032169905888993086,-1.5
1776850188.6145828,tb3,-0.03218212051145802,-1.5
1776850188.6645062,tb3,-0.032183421758320674,-1.5
1776850188.7146528,tb3,-0.03212526310848483,-1.5
1776850188.764498,tb3,-0.03217264066921025,-1.5
1776850188.8145392,tb3,-0.03219230028336103,-1.5
1776850188.8646297,tb3,-0.03217906108486769,-1.5
1776850188.914638,tb3,-0.032128874055930665,-1.5
1776850188.9646547,tb3,-0.03217263673295554,-1.5000000000000002
1776850189.0145438,tb3,-0.03218813411344202,-1.5
1776850189.064563,tb3,-0.03217750320734719,-1.5
1776850189.114625,tb3,-0.032127927192358574,-1.5000000000000002
1776850189.1644912,tb3,-0.03218375496086604,-1.5
1776850189.2145562,tb3,-0.03218033292122206,-1.5
1776850189.2645717,tb3,-0.03218389961608001,-1.5
1776850189.3145385,tb3,-0.03212672629594157,-1.5
1776850189.3644826,tb3,-0.032170561028517654,-1.5
1776850189.4144723,tb3,-0.03402081178355436,-1.5
1776850189.464371,tb3,-0.034020169667157735,-1.4999999999999998
1776850189.5144773,tb3,-0.03398582630340584,-1.5
1776850189.5645006,tb3,-0.03401141466297819,-1.4999999999999998
1776850189.6144617,tb3,-0.03402799278860034,-1.5
1776850189.6645327,tb3,-0.03401887893776184,-1.5
1776850189.7146597,tb3,-0.03398807052683874,-1.5
1776850189.7645864,tb3,-0.034018904486602615,-1.5
1776850189.814593,tb3,-0.03403255265169648,-1.5
1776850189.8646421,tb3,-0.03400976435440689,-1.5
1776850189.9147189,tb3,-0.03398687852982793,-1.5
1776850189.96472,tb3,-0.034013689182306434,-1.5
1776850190.0147548,tb3,-0.03402336485340273,-1.5
1776850190.0646539,tb3,-0.03401002617326952,-1.5
1776850190.1146827,tb3,-0.03398217777634154,-1.5
1776850190.1645668,tb3,-0.03402005364041691,-1.5000000000000002
1776850190.2145467,tb3,-0.034038326412450304,-1.5
1776850190.264654,tb3,-0.034022889541203895,-1.5
1776850190.314673,tb3,-0.03399054849769009,-1.4999999999999998
1776850190.3645937,tb3,-0.03400843910026806,-1.5000000000000002
1776850190.4145927,tb3,-0.03403434669021623,-1.5
1776850190.4646816,tb3,-0.03401776901740242,-1.5
1776850190.5146804,tb3,-0.03400003478218521,-1.5
1776850190.564538,tb3,-0.03400937560508556,-1.5000000000000002
1776850190.6146095,tb3,-0.03403612305692654,-1.5
1776850190.6646323,tb3,-0.03401002399653879,-1.5
1776850190.7146413,tb3,-0.03399996784605289,-1.5000000000000002
1776850190.7646775,tb3,-0.034009079162020776,-1.4999999999999998
1776850190.8146377,tb3,-0.03404184540102083,-1.5000000000000002
1776850190.8647163,tb3,-0.034015146208407,-1.5
